Parent Broker/Customer/Agency,Parent Agency (of Brokerage),Class of Business,Program,Policy Number/Certificate Ref.,Underwriter,Producer,PL Retroactive Date,GL Retroactive Date,Coverage,Exposure Class,Exposure Factor,Program Classes Rating Unit,Count,Rate,Policy Fee,Surplus Lines Tax,Stamping Fee,Other Fee,Insured,Insured Address,Insured City,Insured State,Insured Zip,Effective Date,Expiration Date,Bound Date,Type of Business,Opportunity Status,Limit,Limit (General Liability),Deductible,Gross Premium,Broker Commission,Commission Percent,Returned Premium,Earned Premium,Reason for Lost/Cancelled/Declined,Cancelled Date,PSA Limit,HNOA Drivers,HNOA Limit
J.A. Knapp Agency,,Nanny Services (No Live-Ins),Small Business,SPG0000011-251,Sarah Peichel,Adam Griggs ,5/1/2015,5/1/2015,Professional and General Liability: Claims Made,Nanny Services (No Live-Ins),1,Receipts,500000,3879.47175,350,,,,The Nanny Joynt LLC,10001 N 39th St ,Phoenix,AZ,85028,5/1/2025,5/1/2026,5/8/2025,Renewal,bound,"$1,000,000/$3,000,000","$1,000,000/$3,000,000","$2,500 ",6401,20,30,,,,,"$1,000,000/$3,000,000",,
AmWINS Brokerage of the Midwest - IL,,Medical Personnel Staffing Services for Long Term Care Facilities,Small Business,SPG0000017-251,Roohi Khan,Melissa  Niedelman ,5/1/2023,,Professional Liability: Claims Made | General Liability: Occurrence,Medical Personnel Services (Staff Relief),1,Receipts,910000,7805.215018,350,,,,FH Staffing Solutions LLC,2 Beaumont Ave. ,Brockton,MA,2302,5/1/2025,5/1/2026,5/8/2025,Renewal,bound,"$1,000,000/$3,000,000","$1,000,000/$3,000,000","$2,500 ",10974,20,30,,,,,"$1,000,000/$3,000,000",,
R.E. Chaix & Associates Insurance Brokers Inc.-Irvine,,Hospice Services,Small Business,SPG0000015-251,Roohi Khan,Gloria McShane,5/1/2014,5/1/2014,Professional and General Liability: Claims Made,Home Health Agency,1,Receipts,565000,6356.514462,350,,,,"Victory Hospice Care, Inc",5500 Van Nuys Blvd ,Sherman Oaks,CA,91401,5/1/2025,5/1/2026,5/27/2025,Renewal,bound,"$1,000,000/$3,000,000","$1,000,000/$3,000,000","$2,500 ",7290,20,30,,,,,"$1,000,000/$1,000,000",1,"$250,000/$250,000"
R.E. Chaix & Associates Insurance Brokers Inc.-Irvine,,Hospice Services,Small Business,SPG0000016-251,Roohi Khan,Gloria McShane,5/1/2018,5/1/2018,Professional and General Liability: Claims Made,Home Health Agency,1,Receipts,350000,3937.663826,350,,,,Camarillo Hospice Care Inc.,"5605 Woodman Ave., Suite #205 ",Van Nuys,CA,91401,5/1/2025,5/1/2026,5/27/2025,Renewal,bound,"$1,000,000/$3,000,000","$1,000,000/$3,000,000","$2,500 ",5108,20,30,,,,,"$1,000,000/$1,000,000",1,"$250,000/$250,000"
Jencap Specialty Insurance Services FKA Quaker Special Risk,,Home Healthcare Services,Small Business,SPG0000012-251,Christina Rentas,Matthew Walsh,5/1/2020,5/1/2020,Professional and General Liability: Claims Made,Medical Personnel Services (Staff Relief),1,Receipts,400000,6540.8728,350,,,,Companion Care of the Treasure Coast,808 SE Dixie Hwy ,Stuart,FL,34994,5/1/2025,5/1/2026,5/8/2025,Renewal,bound,"$1,000,000/$3,000,000","$1,000,000/$3,000,000","$1,000 ",6639,20,30,,,,,"$200,000/$600,000",,
Agency Marketing Services/Allsouth Professional,Doxa Insurance Holdings,Nurse Practitioner,Small Business,SPG0000005-251,Sarah Peichel,Michella Dobson,5/1/2023,5/1/2023,Professional and General Liability: Claims Made,Nurse Practitioner,1,People,1,3243.238383,250,,,,"Jose Luis Santos Jr., DNP, FNP-BC",2600 Cedar Ave. ,Laredo,TX,78040,5/1/2025,5/1/2026,5/9/2025,Renewal,bound,"$1,000,000/$3,000,000","$1,000,000/$3,000,000","$2,500 ",2789,20,30,,,,,"$25,000/$25,000",,
"Bridge Specialty Group, LLC FKA ECC Insurance Brokers LLC",Bridge Specialty Insurance Brokerage,Drug test specimen collection services,Small Business,SPG0000001-251,Christina Rentas,Josie Ramirez,5/27/2022,,Professional Liability: Claims Made | General Liability: Occurrence,Medical Labs (Specimen Collection Only),1,Receipts,120000,1006.105162,250,,,,"Wiz Quiz Lakewood, LLC",7585 W Arkansas ,Lakewood,CO,80232,5/1/2025,5/1/2026,5/9/2025,Renewal,bound,"$1,000,000/$3,000,000","$1,000,000/$3,000,000","$1,000 ",2932,20,30,,,,,"$200,000/$600,000",,
Stoermer Insurance Brokerage ,,Home Healthcare Services,Small Business,SPG0000019-251,Sarah Peichel,Caley Hall Erwin,5/1/2024,5/1/2024,Professional and General Liability: Claims Made,Home Health Agency,1,Receipts,24000,138.1992982,250,,,,"Gentle Loving Health Care, LLC",811 Littleton Dr ,Pickerington,OH,43147,5/1/2025,5/1/2026,5/9/2025,Renewal,bound,"$1,000,000/$3,000,000","$1,000,000/$3,000,000","$1,000 ",2800,20,30,,,,,"$100,000/$300,000",,
AmWINS Brokerage Of Georgia LLC - Atlanta,,Home Healthcare Services,Small Business,SPG0000046-251,Roohi Khan,Scott Babb,5/1/2024,5/1/2024,Professional and General Liability: Claims Made,Home Health Agency,1,Receipts,200000,1151.660818,250,,,,"Faith Works Home Health Care, Inc","1700 E Arlington Blvd, Ste A ",Greenville,NC,27858,5/1/2025,5/1/2026,5/15/2025,Renewal,bound,"$1,000,000/$3,000,000","$1,000,000/$3,000,000","$1,000 ",1725,20,30,,,,,"$100,000/$300,000",,
SLB Insurance Group,,Home Healthcare Services,Small Business,SPG0000006-251,Christina Rentas,Adam Firestone,5/1/2023,5/1/2023,Professional and General Liability: Claims Made,Home Health Agency,1,Receipts,350000,2815.641338,250,,,,Always Best at Home Nursing Services LLC,"2500 Quantum Lakes Dr, Ste 203 ",Boynton Beach,FL,33426,5/1/2025,5/1/2026,5/9/2025,Renewal,bound,"$1,000,000/$3,000,000","$1,000,000/$3,000,000","$1,000 ",2675,20,30,,,,,"$100,000/$300,000",,
CRCSwett - Woodland Hills,,Healthcare Staffing Services for Long Term Care Facilities ,Small Business,SPG0000009-251,Christina Rentas,Elizabeth Gibbons,5/1/2021,5/1/2021,Professional and General Liability: Claims Made,Medical Personnel Services(Home Health Only),1,Receipts,150000,1230.346755,250,,,,"Impact Staffing Solutions, LLC",16103 Seaside Rd ,Eastville,VA,23347,5/1/2025,5/1/2026,5/9/2025,Renewal,bound,"$1,000,000/$3,000,000","$1,000,000/$3,000,000","$2,500 ",2538,20,30,,,,,"$200,000/$600,000",,
"Wholesure FKA Founders Professional - St. Petersburg, FL",,Home Health Agency,Small Business,SPG0000004-251,Roohi Khan,Peter Stavrakos,5/1/2024,5/1/2024,Professional and General Liability: Claims Made,Home Health Agency,1,Receipts,575000,3311.024852,250,,,,Shared Care LLC,209 Cathy Dr. ,New Market,AL,35761,5/1/2025,5/1/2026,5/9/2025,Renewal,bound,"$1,000,000/$3,000,000","$1,000,000/$3,000,000","$1,000 ",2814,20,30,,,,,"$100,000/$300,000",,
Capitol Special Risks,Specialty Program Group,Outpatient medical clinic,Mid-Sized,SPG0000018-251,Ashley Stewart,Keanna Dillard,5/2/2023,,Professional Liability: Claims Made | General Liability: Occurrence,Physician - Urgent Care,1,Physicians,1,3910.2,350,,,,Premium Life Medical Center LLC,"639 Beaver Ruin Rd, Ste A ",Lilburn,GA,30047,5/2/2025,5/2/2026,5/12/2025,Renewal,bound,"$1,000,000/$3,000,000","$1,000,000/$3,000,000","$5,000 ",17280,20,30,,,,,"$100,000/$300,000",,
"Brown & Riding - Los Angeles, CA",,Adoption Agencies - Domestic Only,Mid-Sized,SPG0000020-251,Ashley Stewart,Dennis Fox,3/18/2004,3/18/2004,Professional and General Liability: Claims Made,Social Services - Adoption (Adoptions),1,Adoptions,10,3609.375,350,,,,"Christian Family Services, Inc",2720 SW 2nd Ave ,Gainesville,FL,32607,5/2/2025,5/2/2026,5/12/2025,Renewal,bound,"$1,000,000/$3,000,000","$1,000,000/$3,000,000","$5,000 ",14357,20,30,,,,,"$1,000,000/$1,000,000",,
"Risk Placement Services, Inc. - IL",,Pediatric Physical Therapy Services,Small Business,SPG0000044-251,Sarah Peichel,Patrick Dienes,5/1/2021,,Professional Liability: Claims Made | General Liability: Occurrence,PT/OT/ST (Revs),1,Receipts,160000,1616.896512,350,,,,"Sunny Days Pediatric Therapy, PLLC",870 E Lodgepole Dr ,Gilbert,AZ,85298,5/3/2025,5/3/2026,5/14/2025,Renewal,bound,"$2,000,000/$2,000,000","$1,000,000/$2,000,000","$2,500 ",5352,20,30,,,,,"$500,000/$500,000",,
XS Brokers - CT,,Home Healthcare Services,Small Business,SPG0000052-251,Christina Rentas,Paulina Stosur,5/4/2023,5/4/2023,Professional and General Liability: Claims Made,Home Health Agency,1,Receipts,500000,2889.52114,250,,,,Grace Caretakers LLC,5 Granite Post Rd. ,Concord,MA,1742,5/4/2025,5/4/2026,5/19/2025,Renewal,bound,"$1,000,000/$3,000,000","$1,000,000/$3,000,000","$5,000 ",3733,20,30,,,,,"$100,000/$300,000",,
"Wholesure FKA Founders Professional - St. Petersburg, FL",,Homemaker and Companion Services,Small Business,SPG0000036-251,Christina Rentas,Charlotte Finver,5/5/2016,,Professional Liability: Claims Made | General Liability: Occurrence,Home Health Agency,1,Receipts,345000,3951.982604,250,,,,Godsend Health Services Inc.,11117 W Okeechobels Rd Ste 127 ,Hialeah,FL,33018,5/5/2025,5/5/2026,5/12/2025,Renewal,bound,"$1,000,000/$3,000,000","$1,000,000/$3,000,000","$2,500 ",2511,20,30,,,,,"$200,000/$600,000",,
XS Brokers - CT,,Non-Emergency Transportation Services,Small Business,SPG0000033-251,Ashley Stewart,"Stephanie Perna, RPLU",5/5/2021,,Professional Liability: Claims Made | General Liability: Occurrence,Non-Emergency Transportation,1,Runs,3300,7611.974093,350,,,,Alpha Supply & Services Inc,101 Dutch Hill Rd ,Bloomsburg,PA,17815,5/5/2025,5/5/2026,5/9/2025,Renewal,bound,"$1,000,000/$3,000,000","$1,000,000/$3,000,000","$5,000 ",8145,20,30,,,,,"$1,000,000/$1,000,000",,
"RT Specialty - Kansas City, MO",,Medical Personnel Staffing Services,Small Business,SPG0000045-251,Haley Crocombe,Tiffany Dooley ,5/7/2022,,Professional Liability: Claims Made | General Liability: Occurrence,Medical Personnel Services (Staff Relief),1,Receipts,200000,1986.289536,100,,,,Spring Healthcare Staffing Inc,340 Adolphus Ave ,Cliffside Park,NJ,7010,5/7/2025,5/7/2026,5/19/2025,Renewal,bound,"$1,000,000/$3,000,000","$1,000,000/$3,000,000","$2,500 ",9000,20,30,,,,,"$200,000/$600,000",30,"$1,000,000/$1,000,000"
AmWINS Brokerage of the Midwest - IL,,Healthcare Staffing Services,Small Business,SPG0000027-251,Roohi Khan,Candie Wasilewski,5/7/2024,5/7/2024,Professional and General Liability: Claims Made,Medical Personnel Services (Staff Relief),1,Receipts,200000,1426.40608,250,,,,Talented Medical Solutions,1846 E Innovation Park Dr ,Oro Valley,AZ,85755,5/7/2025,5/7/2026,5/8/2025,Renewal,bound,"$1,000,000/$3,000,000","$1,000,000/$3,000,000","$5,000 ",4484,20,30,,,,,"$100,000/$300,000",7,"$1,000,000/$1,000,000"
XS Specialty Brokerage ,,Youth Case Management and Family Services,Small Business,SPG0000003-251,Sarah Peichel,Matthew Bachman,5/7/2024,5/7/2024,Professional and General Liability: Claims Made,Case Management,1,Receipts,6000,19.930086,250,,,,Ann's Family Service LLC,136 Willow St ,Newmanstown,PA,17073,5/7/2025,5/7/2026,5/12/2025,Renewal,bound,"$1,000,000/$2,000,000","$1,000,000/$2,000,000","$2,500 ",3600,20,30,,,,,"$25,000/$25,000",,
AmWINS Insurance Brokerage  - Morgan Hill,,Hospice Care Services,Small Business,SPG0000032-251,Haley Crocombe,Amanda Gryaznova,5/8/2023,5/8/2023,Professional and General Liability: Claims Made,Home Health Agency,1,Receipts,2000000,11695.66517,350,,,,Ardent Hospice Services Inc.,"24301 Southland Dr., Ste B-10 ",Hayward,CA,94545,5/8/2025,5/8/2026,5/9/2025,Renewal,bound,"$1,000,000/$3,000,000","$1,000,000/$3,000,000","$2,500 ",12087,20,30,,,,,"$100,000/$300,000",,
AmWINS Brokerage Of Georgia LLC - Atlanta,,Limiting coverage only to Non Emergency Transport Services ,Small Business,SPG0000023-251,Sarah Peichel,Chris Stuhlweissenburg,4/15/2019,,Professional Liability: Claims Made | General Liability: Occurrence,Non-Emergency Transportation,1,Runs,1632,6587.817578,350,,,,Comfort Travel Non-Emergency Transport LLC,4164 Heaton Terrace ,North Port,FL,34286,5/8/2025,5/8/2026,5/12/2025,Renewal,bound,"$1,000,000/$3,000,000","$1,000,000/$3,000,000","$5,000 ",7993,20,30,,,,,"$200,000/$600,000",,
Jackson Sumner & Associates,,Home Health Agency,Small Business,SPG0000037-251,Christina Rentas,Michele Salguero,5/10/2022,5/10/2022,Professional and General Liability: Claims Made,Home Health Agency,1,Receipts,200000,2055.9231,250,,,,Dalylah Angels Home Care LLC,14425 Ashmill Dr ,Midlothian,VA,23112,5/10/2025,5/10/2026,5/12/2025,Renewal,bound,"$2,650,000/$3,000,000","$2,650,000/$3,000,000","$2,500 ",5000,20,30,,,,,"$200,000/$600,000",,
"AmWINS Brokerage of Florida, Inc - Palm Beach",,Adult Day Care,Small Business,SPG0000013-251,Christina Rentas,Aileen Berry,5/11/2017,,Professional Liability: Claims Made | General Liability: Occurrence,Adult Day Care,1,Max Licensed OCC,50,4116,250,,,,"Watch Care, Inc dba Almost Home DayBreak",3604 Cardinal Point Dr ,Jacksonville,FL,32257,5/11/2025,5/11/2026,5/12/2025,Renewal,bound,"$100,000/$300,000","$100,000/$300,000","$1,000 ",2639,20,30,,,,,"$100,000/$300,000",,
"AmWINS Insurance Brokerage - Woodland Hills, CA",,Caregivers Agency,Small Business,SPG0000065-251,Christina Rentas,Steven Riss,5/11/2021,5/11/2021,Professional and General Liability: Claims Made,Medical Personnel Services(Home Health Only),1,Receipts,360000,5167.456371,250,,,,"CareArm Solutions, Inc","2140 W Chapman Ave, #230 ",Orange,CA,92868,5/11/2025,5/11/2026,5/22/2025,Renewal,bound,"$1,000,000/$3,000,000","$1,000,000/$3,000,000","$2,500 ",4563,20,30,,,,,"$1,000,000/$3,000,000",1,"$1,000,000/$1,000,000"
"Wholesure FKA Founders Professional - St. Petersburg, FL",,Medical Personnel Staffing Services for Long Term Care Facilities and MLTC Eligibility Assessments,Small Business,SPG0000026-251,Haley Crocombe,Stephen Maniscalco,5/11/2021,,Professional Liability: Claims Made | General Liability: Occurrence,Case Management,1,Receipts,573750,3002.134023,350,,,,Burco staffing LLC dba Yes Staffing 2 LLC,125 Lefferts Rd. ,Woodmere,NY,11598,5/11/2025,5/11/2026,5/12/2025,Renewal,bound,"$1,000,000/$3,000,000","$1,000,000/$3,000,000","$2,500 ",10000,20,30,,,,,"$1,000,000/$1,000,000",9,"$1,000,000/$1,000,000"
"AmWINS Insurance Brokerage - Woodland Hills, CA",,Home Healthcare Services,Mid-Sized,SPG0000042-251,Haley Crocombe,Maria Joaquin,5/13/2022,,Professional Liability: Claims Made | General Liability: Occurrence,Home Health Agency (Revs),1,Receipts,3000000,18522,350,,,,"Cherish Care Staffing and Caregiving Services, Inc.","18800 Amar Rd., Suite B-5 and B-6 ",Walnut,CA,91789,5/13/2025,5/13/2026,5/14/2025,Renewal,bound,"$1,000,000/$3,000,000","$1,000,000/$3,000,000","$5,000 ",25860,20,30,,,,,"$1,000,000/$3,000,000",106,"$1,000,000/$1,000,000"
"Peachtree Special Risk Brokers, LLC - FL",Bridge Specialty Insurance Brokerage,Home Health Agency | Medical Personnel Staffing Services for Home Health,Small Business,SPG0000051-251,Christina Rentas,Michael Falco,5/13/2022,5/13/2022,Professional and General Liability: Claims Made,Medical Personnel Services(Home Health Only),1,Receipts,218000,1788.103951,250,,,,Kure Home Care LLC dba Christees Home Care,7908 Cincinnati - Dayton Rd Ste J ,West Chester,OH,45069,5/13/2025,5/13/2026,5/19/2025,Renewal,bound,"$1,000,000/$3,000,000","$1,000,000/$3,000,000","$2,500 ",4308,20,30,,,,,"$200,000/$600,000",,
CRCSwett - NY,,Group Home for Developmentally Disabled Adults Only ,Mid-Sized,SPG0000048-251,Sarah Peichel,Nelson Mendoza,5/14/2019,5/14/2019,Professional and General Liability: Claims Made,Group Home - Disabled Adults Only,1,Beds,5,5912.5,350,,,,Chase Courageous Health Services LLC,7708 Regent Ave N ,Brooklyn Park,MN,55443,5/14/2025,5/14/2026,5/15/2025,Renewal,bound,"$1,000,000/$3,000,000","$1,000,000/$3,000,000","$2,500 ",9509,20,30,,,,,"$200,000/$600,000",3,"$250,000/$250,000"
"Bass Underwriters - Los Angeles, CA",,Healthcare Staffing Services,Small Business,SPG0000035-251,Haley Crocombe,Elizabeth Garcia,5/15/2020,5/15/2020,Professional and General Liability: Claims Made,Medical Personnel Services (Staff Relief),1,Receipts,1500000,28431.01184,350,,,,"Nurse Access Staffing, LLC","411 N Central Ave, Suite 340 ",Glendale,CA,91203,5/15/2025,5/15/2026,5/12/2025,Renewal,bound,"$2,000,000/$4,000,000","$2,000,000/$4,000,000","$5,000 ",20200,20,30,,,,,"$200,000/$600,000",,
Finance Insurance Ltd,,Home Health Agency,Small Business,SPG0000047-251,Christina Rentas,Anna Valli,5/15/2015,5/15/2015,Professional and General Liability: Claims Made,Home Health Agency,1,Receipts,305000,2066.214997,250,,,,Diversified Island Investment LTD dba Maxicare Link,311 Kinoole St. ,Hilo,HI,96720,5/15/2025,5/15/2026,5/15/2025,Renewal,bound,"$1,000,000/$3,000,000","$1,000,000/$3,000,000","$1,000 ",2771,20,30,,,,,"$1,000,000/$1,000,000",2,"$500,000/$500,000"
Socius Insurance Services Inc. - MIAMI,RT Specialty,Home Health and Hospice Services,Small Business,SPG0000056-251,Christina Rentas,"Cynthia Seagrave (Zimmerman), RPLU, ACRA",5/15/2024,5/15/2024,Professional and General Liability: Claims Made,Medical Personnel Services (Staff Relief),1,Receipts,120000,904.471128,250,,,,"KJC Legacy, LLC dba Better Together Home Health and Hospice","3515 Manchester Rd, Ste F ",Akron,OH,44319,5/15/2025,5/15/2026,5/20/2025,Renewal,bound,"$1,000,000/$3,000,000","$1,000,000/$3,000,000","$2,500 ",3827,20,30,,,,,"$200,000/$600,000",5,"$500,000/$500,000"
"Risk Placement Services, Inc. - IL",,Medical Personnel Staffing Services,Mid-Sized,SPG0000059-251,Haley Crocombe,Patrick Dienes,5/16/2022,,Professional Liability: Claims Made | General Liability: Occurrence,Healthcare Staffing (Revs),1,Receipts,9530000,37742.49696,350,,,,"NavistaCare, LLC","4375 N. Vantage Dr, Suite 405 ",Fayetteville,AR,72703,5/16/2025,5/16/2026,5/21/2025,Renewal,bound,"$1,000,000/$3,000,000","$1,000,000/$3,000,000","$5,000 ",33020,20,30,,,,,"$100,000/$300,000",,
AmWINS Insurance Brokerage  - Morgan Hill,,Hospice Care Services,Small Business,SPG0000057-251,Roohi Khan,Amanda Gryaznova,5/17/2023,5/17/2023,Professional and General Liability: Claims Made,Home Health Agency,1,Receipts,300000,3206.383401,250,,,,"Mary Queen of Angel Hospice, Inc.","10990 Warner Ave., Ste F ",Fountain Valley,CA,92708,5/17/2025,5/17/2026,5/20/2025,Renewal,bound,"$1,000,000/$3,000,000","$1,000,000/$3,000,000","$2,500 ",3825,20,30,,,,,"$100,000/$300,000",,
"JM Wilson - Portage, MI",,Staffing of MRI Technologists,Small Business,SPG0000062-251,Roohi Khan,Joe Uekert,5/18/2017,,Professional Liability: Claims Made | General Liability: Occurrence,Medical Personnel Services (Staff Relief),1,Receipts,450000,5078.5812,350,,,,Medstar Staffing LLC,18071 Azalea Dr ,Brownstown,MI,48173,5/18/2025,5/18/2026,5/22/2025,Renewal,bound,"$1,000,000/$3,000,000","$1,000,000/$3,000,000","$2,500 ",7000,20,30,,,,,"$200,000/$600,000",7,"$1,000,000/$1,000,000"
Socius Insurance Services Inc. - MIAMI,RT Specialty,Home Health Agency,Small Business,SPG0000007-251,Christina Rentas,Dan Mittelmark,5/18/2021,5/18/2021,Professional and General Liability: Claims Made,Home Health Agency,1,Receipts,70000,787.5327653,250,,,,"HHMA, LLC dba Senior Care Solutions","1000 W Pembroke Rd, Ste 323 ",Hallandale Beach,FL,33309,5/18/2025,5/18/2026,5/12/2025,Renewal,bound,"$1,000,000/$3,000,000","$1,000,000/$3,000,000","$2,500 ",2775,20,30,,,,,"$200,000/$600,000",3,"$1,000,000/$1,000,000"
"Wholesure FKA Founders Professional - St. Petersburg, FL",,Home Health Agency,Small Business,SPG0000086-251,Christina Rentas,Charlotte Finver,5/19/2016,5/19/2016,Professional and General Liability: Claims Made,Home Health Agency,1,Receipts,315000,2531.355317,250,,,,"Maranatha Home Health, Inc.","9280 Bay Plaza Blvd, STE 717 ",Tampa,FL,33619,5/19/2025,5/19/2026,5/30/2025,Renewal,bound,"$1,000,000/$3,000,000","$1,000,000/$3,000,000","$2,500 ",3600,20,30,,,,,"$100,000/$300,000",,
"AmWINS Brokerage of California, LLC",,Home Health and Hospice Care Services,Small Business,SPG0000055-251,Sarah Peichel,Cindy Brandt,5/20/2019,,Professional Liability: Claims Made | General Liability: Occurrence,Home Health Agency,1,Receipts,510000,3338.320709,350,,,,Lake Forest Hospice,22772 Centre Dr #200 ,Lake Forest,CA,92630,5/20/2025,5/20/2026,5/19/2025,Renewal,bound,"$1,000,000/$3,000,000","$1,000,000/$3,000,000","$2,500 ",6671,20,30,,,,,"$100,000/$300,000",,
"Risk Placement Services - Bloomington, IA ,IL ,MN ,MO ,ND ,NE ,SD ,WI ,WY",,Home Healthcare Services,Small Business,SPG0000024-251,Haley Crocombe,Steve Libor,5/20/2023,,Professional Liability: Claims Made | General Liability: Occurrence,Home Health Agency,1,Receipts,2422245.54,14008.88065,350,,,,"Tri-State Home Health Care, LLC",4073 S Park Rd ,Freeport,IL,61032,5/20/2025,5/20/2026,5/12/2025,Renewal,bound,"$1,000,000/$3,000,000","$1,000,000/$3,000,000","$2,500 ",12608,20,30,,,,,"$100,000/$300,000",,
